closing,murder_flag,lat,lon,adult_price,latlon,,,date,time,time_range,hour_range
August,Not Murdered,40.670423,-73.919836,8,"40.670423,-73.919836",,,8/4/2022,2:15:00,2,12AM-2:59AM
February,Not Murdered,40.67734,-73.822681,2,"40.67734,-73.822681",,,2/17/2022,15:50:00,15,3PM-5:59PM
October,Not Murdered,40.648786,-73.896717,10,"40.648786,-73.896717",,,10/2/2022,20:23:00,20,6PM-8:59PM
June,Murdered,40.694484,-73.902183,6,"40.694484,-73.902183",,,6/6/2022,1:25:00,1,12AM-2:59AM
July,Not Murdered,40.69614063,-73.97833369,7,"40.69614063,-73.97833369",,,7/7/2022,17:27:00,17,3PM-5:59PM
May,Not Murdered,40.732054,-73.813346,5,"40.732054,-73.813346",,,5/1/2022,23:39:00,23,9PM-11:59PM
October,Not Murdered,40.667748,-73.929828,10,"40.667748,-73.929828",,,10/20/2022,6:35:00,6,6AM-8:59AM
February,Murdered,40.845902,-73.892118,2,"40.845902,-73.892118",,,2/19/2022,15:17:00,15,3PM-5:59PM
March,Murdered,40.832218,-73.906377,3,"40.832218,-73.906377",,,3/31/2022,19:46:00,19,6PM-8:59PM
July,Not Murdered,40.66495266,-73.92287688,7,"40.66495266,-73.92287688",,,7/20/2022,11:30:00,11,9AM-11:59AM
February,Not Murdered,40.852571,-73.893695,2,"40.852571,-73.893695",,,2/25/2022,6:20:00,6,6AM-8:59AM
April,Not Murdered,40.865376,-73.893201,4,"40.865376,-73.893201",,,4/14/2022,1:41:00,1,12AM-2:59AM
October,Not Murdered,40.7560575,-73.94282211,10,"40.7560575,-73.94282211",,,10/15/2022,1:30:00,1,12AM-2:59AM
April,Not Murdered,40.606321,-74.065039,4,"40.606321,-74.065039",,,4/27/2022,13:23:00,13,12PM-2:59PM
May,Not Murdered,40.689014,-73.811429,5,"40.689014,-73.811429",,,5/12/2022,21:39:00,21,9PM-11:59PM
